product_id,current_price,competitor_price,demand_last_week,stock_level,marketing_spend,season,day_of_week,customer_rating,units_sold,optimal_price
1102,15.46,22.09,281,104,4773.3,winter,thursday,3.3,267,18.51
1435,29.58,17.53,191,122,2638.04,monsoon,thursday,4.53,141,29.76
1860,123.77,129.09,390,376,4808.98,monsoon,thursday,2.78,287,126.66
1270,123.38,135.49,424,449,1857.01,festival,wednesday,2.74,475,125.46
1106,55.74,70.18,107,644,1053.16,summer,monday,3.47,84,57.67
1071,146.8,134.49,156,0,1413.82,summer,monday,4.26,137,146.34
1700,155.86,155.53,101,139,1701.74,monsoon,thursday,3.91,99,156.71
1020,184.5,173.61,198,718,2895.32,festival,wednesday,2.67,138,184.77
1614,119.06,127.65,217,172,3408.58,winter,tuesday,4.96,168,121.7
1121,156.99,158.53,181,91,3547.98,festival,wednesday,2.92,178,158.9
1466,151.85,163.87,286,409,1759.7,winter,sunday,4.61,225,153.97
1214,55.27,60.62,299,176,4757.41,festival,thursday,4.19,319,58.23
1330,65.49,56.4,479,19,1923.59,monsoon,thursday,2.83,608,65.53
1458,98.3,99.12,449,776,2995.7,monsoon,tuesday,4.55,334,99.88
1087,8.71,1.22,53,177,3317.42,monsoon,monday,3.46,46,9.63
1372,62.99,52.25,159,611,3767.79,summer,sunday,2.58,128,63.72
1099,97.41,92.28,205,152,3293.4,winter,tuesday,4.86,246,98.62
1871,26.07,27.99,240,992,3400.3,festival,sunday,4.01,280,27.91
1663,29.62,19.95,344,367,4765.9,winter,thursday,4.09,251,31.05
1130,95.33,96.56,392,139,3560.92,winter,thursday,4.04,396,97.27
1661,147.54,134.05,51,533,4347.12,winter,friday,2.84,48,148.3
1308,167.58,148.58,295,186,2161.77,winter,saturday,4.72,214,166.83
1769,111.53,129.38,478,8,335.61,summer,wednesday,4.27,376,113.55
1343,97.58,93.5,375,115,900.46,monsoon,monday,4.99,355,97.71
1491,79.93,77.91,152,577,1016.03,winter,saturday,2.71,137,80.16
1413,42.63,38.97,118,133,1265.11,monsoon,friday,4.01,102,42.93
1805,33.58,38.68,268,692,468.22,summer,thursday,2.71,200,34.24
